,timestamp,datetime,BrowerAHU2/DA-T,BrowerAHU2/OA-T
0,1388563200000.0,2014-01-01 00:00:00,69.25894927978516,47.4323616027832
1,1388566800000.0,2014-01-01 01:00:00,68.8599853515625,46.613677978515625
2,1388570400000.0,2014-01-01 02:00:00,68.66577911376953,46.20094299316406
3,1388574000000.0,2014-01-01 03:00:00,68.26896667480469,45.562286376953125
4,1388577600000.0,2014-01-01 04:00:00,67.86491394042969,45.178123474121094
5,1388581200000.0,2014-01-01 05:00:00,67.46404266357422,44.76396560668945
6,1388584800000.0,2014-01-01 06:00:00,69.79627227783203,43.54813766479492
7,1388588400000.0,2014-01-01 07:00:00,72.33870697021484,45.006160736083984
8,1388592000000.0,2014-01-01 08:00:00,70.76231384277344,46.04545211791992
9,1388595600000.0,2014-01-01 09:00:00,72.09286499023438,49.33994674682617
10,1388599200000.0,2014-01-01 10:00:00,71.89704132080078,51.75318908691406
11,1388602800000.0,2014-01-01 11:00:00,74.80337524414062,54.81312561035156
12,1388606400000.0,2014-01-01 12:00:00,71.25465393066406,56.48817825317383
13,1388610000000.0,2014-01-01 13:00:00,72.25019073486328,59.38628387451172
14,1388613600000.0,2014-01-01 14:00:00,69.09362030029297,61.12020492553711
15,1388617200000.0,2014-01-01 15:00:00,69.59536743164062,58.765499114990234
16,1388620800000.0,2014-01-01 16:00:00,69.8584213256836,59.43000030517578
17,1388624400000.0,2014-01-01 17:00:00,70.76659393310547,57.114036560058594
18,1388628000000.0,2014-01-01 18:00:00,70.79908752441406,54.222999572753906
19,1388631600000.0,2014-01-01 19:00:00,75.03019714355469,52.999210357666016
20,1388635200000.0,2014-01-01 20:00:00,70.39917755126953,53.02545928955078
21,1388638800000.0,2014-01-01 21:00:00,71.99297332763672,52.40420150756836
22,1388642400000.0,2014-01-01 22:00:00,71.60923767089844,51.9588623046875
23,1388646000000.0,2014-01-01 23:00:00,69.82628631591797,51.16603469848633
24,1388649600000.0,2014-01-02 00:00:00,68.10885620117188,49.73306655883789
25,1388653200000.0,2014-01-02 01:00:00,67.5093765258789,49.7408332824707
26,1388656800000.0,2014-01-02 02:00:00,67.30470275878906,47.630035400390625
27,1388660400000.0,2014-01-02 03:00:00,67.10606384277344,46.75164794921875
28,1388664000000.0,2014-01-02 04:00:00,66.90760803222656,46.122894287109375
29,1388667600000.0,2014-01-02 05:00:00,66.8984603881836,47.18018341064453
30,1388671200000.0,2014-01-02 06:00:00,73.4153823852539,45.896419525146484
31,1388674800000.0,2014-01-02 07:00:00,73.62286376953125,46.72724151611328
32,1388678400000.0,2014-01-02 08:00:00,74.28497314453125,47.97175216674805
33,1388682000000.0,2014-01-02 09:00:00,71.87447357177734,50.78150939941406
34,1388685600000.0,2014-01-02 10:00:00,74.51182556152344,55.19674301147461
35,1388689200000.0,2014-01-02 11:00:00,73.42503356933594,57.80514907836914
36,1388692800000.0,2014-01-02 12:00:00,71.61640930175781,60.845027923583984
37,1388696400000.0,2014-01-02 13:00:00,70.2260513305664,62.78282928466797
38,1388700000000.0,2014-01-02 14:00:00,69.03611755371094,64.9285659790039
39,1388703600000.0,2014-01-02 15:00:00,68.0201416015625,64.07427978515625
40,1388707200000.0,2014-01-02 16:00:00,68.08784484863281,63.43211364746094
41,1388710800000.0,2014-01-02 17:00:00,72.0938491821289,60.20219802856445
42,1388714400000.0,2014-01-02 18:00:00,71.6418685913086,57.43363571166992
43,1388718000000.0,2014-01-02 19:00:00,71.6489486694336,57.02268981933594
44,1388721600000.0,2014-01-02 20:00:00,71.65013122558594,56.006317138671875
45,1388725200000.0,2014-01-02 21:00:00,72.52330017089844,55.583683013916016
46,1388728800000.0,2014-01-02 22:00:00,72.29045104980469,54.96327590942383
47,1388732400000.0,2014-01-02 23:00:00,73.4373550415039,54.33961486816406
48,1388736000000.0,2014-01-03 00:00:00,68.98775482177734,51.933895111083984
49,1388739600000.0,2014-01-03 01:00:00,68.98714447021484,51.306732177734375
50,1388743200000.0,2014-01-03 02:00:00,68.98714447021484,50.0372314453125
51,1388746800000.0,2014-01-03 03:00:00,68.58612060546875,50.264442443847656
52,1388750400000.0,2014-01-03 04:00:00,68.58612060546875,50.25727462768555
53,1388754000000.0,2014-01-03 05:00:00,68.78474426269531,48.59796142578125
54,1388757600000.0,2014-01-03 06:00:00,68.63902282714844,47.58063888549805
55,1388761200000.0,2014-01-03 07:00:00,71.73184204101562,47.990848541259766
56,1388764800000.0,2014-01-03 08:00:00,69.77045440673828,48.80729675292969
57,1388768400000.0,2014-01-03 09:00:00,74.13945770263672,49.67235565185547
58,1388772000000.0,2014-01-03 10:00:00,72.15399169921875,54.252647399902344
59,1388775600000.0,2014-01-03 11:00:00,71.1052017211914,56.27110290527344
60,1388779200000.0,2014-01-03 12:00:00,69.74130249023438,58.69993209838867
61,1388782800000.0,2014-01-03 13:00:00,69.4350357055664,61.256309509277344
62,1388786400000.0,2014-01-03 14:00:00,69.43367767333984,61.2709846496582
63,1388790000000.0,2014-01-03 15:00:00,69.01317596435547,61.647064208984375
64,1388793600000.0,2014-01-03 16:00:00,70.6550064086914,58.892066955566406
65,1388797200000.0,2014-01-03 17:00:00,71.18769836425781,57.43079376220703
66,1388800800000.0,2014-01-03 18:00:00,70.58403778076172,55.979469299316406
67,1388804400000.0,2014-01-03 19:00:00,73.12017059326172,54.52577209472656
68,1388808000000.0,2014-01-03 20:00:00,73.38433837890625,54.11420822143555
69,1388811600000.0,2014-01-03 21:00:00,73.79991912841797,53.496971130371094
